City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Alexandria,EG,2022-06-23 13:14:07,31.2156,29.9553,83.32,63,0,13.38,clear sky
173,Havre-Saint-Pierre,CA,2022-06-23 13:14:07,50.2334,-63.5986,55.22,77,97,9.06,overcast clouds
174,Fortuna,US,2022-06-23 13:14:08,40.5982,-124.1573,54.93,89,14,4.09,few clouds
175,Shubarkuduk,KZ,2022-06-23 13:14:08,49.1447,56.4872,91.06,28,54,18.14,broken clouds
176,Ilulissat,GL,2022-06-23 13:14:08,69.2167,-51.1,39.22,87,75,6.91,light rain
177,College,US,2022-06-23 13:14:09,64.8569,-147.8028,60.78,68,75,9.22,mist
178,Brae,GB,2022-06-23 13:14:09,60.3964,-1.353,54.57,87,100,15.97,overcast clouds
179,San Quintin,MX,2022-06-23 13:14:10,30.4833,-115.95,66.87,84,0,8.19,clear sky
180,East London,ZA,2022-06-23 13:14:10,-33.0153,27.9116,75.29,36,100,6.76,overcast clouds
181,Gizo,SB,2022-06-23 13:14:11,-8.103,156.8419,82.2,75,56,6.02,broken clouds
182,Yulara,AU,2022-06-23 13:14:11,-25.2406,130.9889,57.97,34,0,4.27,clear sky
183,Kapaa,US,2022-06-23 13:14:12,22.0752,-159.319,73.38,94,75,11.5,light rain
184,Saint George,US,2022-06-23 13:14:24,37.1041,-113.5841,73.8,37,0,5.01,clear sky
185,Ayan,RU,2022-06-23 13:15:12,56.45,138.1667,47.08,97,94,7.18,overcast clouds
186,Clyde River,CA,2022-06-23 13:15:13,70.4692,-68.5914,32.23,100,100,20.71,overcast clouds
187,Aguimes,ES,2022-06-23 13:15:13,27.9054,-15.4461,74.03,50,20,25.32,few clouds
188,Talnakh,RU,2022-06-23 13:15:14,69.4865,88.3972,85.21,20,28,5.41,scattered clouds
189,Kodiak,US,2022-06-23 13:15:14,57.79,-152.4072,56.71,67,0,5.75,smoke
190,Merauke,ID,2022-06-23 13:15:15,-8.4667,140.3333,77.63,86,89,17.22,overcast clouds
191,Dingle,PH,2022-06-23 13:15:15,10.9995,122.6711,77.97,89,77,4.68,broken clouds
192,Liverpool,GB,2022-06-23 13:15:16,53.4106,-2.9779,82.98,45,40,12.66,scattered clouds
193,Laredo,US,2022-06-23 13:10:47,27.5064,-99.5075,75.49,83,0,3.44,clear sky
194,Marica,BR,2022-06-23 13:11:21,-22.9194,-42.8186,73.35,60,0,4.32,clear sky
195,Bardiyah,LY,2022-06-23 13:15:17,31.7561,25.0865,86.2,47,0,15.5,clear sky
196,Bathsheba,BB,2022-06-23 13:15:17,13.2167,-59.5167,86.61,66,40,12.66,scattered clouds
197,Mar Del Plata,AR,2022-06-23 13:12:50,-38.0023,-57.5575,46.09,69,100,4.0,overcast clouds
198,Upernavik,GL,2022-06-23 13:15:18,72.7868,-56.1549,33.89,92,100,6.38,overcast clouds
199,Cidreira,BR,2022-06-23 13:15:18,-30.1811,-50.2056,61.56,95,100,12.03,overcast clouds
200,Tengzhou,CN,2022-06-23 13:15:19,35.0771,117.1518,83.46,65,0,5.97,clear sky
201,Rock Springs,US,2022-06-23 13:15:19,41.5875,-109.2029,62.04,31,100,3.44,overcast clouds
202,Redmond,US,2022-06-23 13:14:28,47.674,-122.1215,55.33,85,76,1.66,broken clouds
203,Lagoa,PT,2022-06-23 13:15:20,39.05,-27.9833,64.49,85,94,14.56,overcast clouds
204,Olga,RU,2022-06-23 13:15:20,43.7444,135.2892,57.13,99,100,6.08,moderate rain
205,Nagapattinam,IN,2022-06-23 13:15:20,10.7667,79.8333,85.5,69,100,16.89,overcast clouds
206,Salalah,OM,2022-06-23 13:15:21,17.0151,54.0924,84.29,79,40,14.97,scattered clouds
207,Wagga Wagga,AU,2022-06-23 13:15:21,-35.1167,147.3667,51.6,93,100,4.18,overcast clouds
208,Zhanaozen,KZ,2022-06-23 13:15:22,43.3,52.8,96.89,13,100,9.17,light rain
209,Matara,LK,2022-06-23 13:15:22,5.9485,80.5353,80.51,82,9,9.64,clear sky
210,Kortkeros,RU,2022-06-23 13:15:23,61.8106,51.5806,62.19,92,100,2.51,overcast clouds
211,Turukhansk,RU,2022-06-23 13:15:23,65.8167,87.9833,79.03,37,100,8.93,overcast clouds
212,Evensk,RU,2022-06-23 13:15:23,61.95,159.2333,43.25,97,100,12.71,overcast clouds
213,Maple Creek,CA,2022-06-23 13:15:24,49.9168,-109.4848,66.61,82,4,3.44,clear sky
214,Lagos,NG,2022-06-23 13:13:22,6.5833,3.75,84.51,67,88,6.02,light rain
215,Grand Gaube,MU,2022-06-23 13:15:25,-20.0064,57.6608,70.2,78,56,5.99,broken clouds
216,Richards Bay,ZA,2022-06-23 13:15:25,-28.783,32.0377,75.92,50,93,11.88,overcast clouds
217,Troitsko-Pechorsk,RU,2022-06-23 13:15:26,62.7084,56.1964,49.44,94,100,4.32,overcast clouds
218,Winslow,US,2022-06-23 13:15:26,35.0242,-110.6974,62.78,67,0,3.44,clear sky
219,Hanzhong,CN,2022-06-23 13:15:26,33.0728,107.0303,79.99,62,2,1.07,clear sky
220,Faya,SA,2022-06-23 13:15:27,18.3851,42.4509,77.52,37,76,13.67,light rain
221,Mus,TR,2022-06-23 13:15:28,39.0,41.75,78.84,31,20,14.27,few clouds
222,Daru,PG,2022-06-23 13:15:28,-9.0763,143.2092,77.81,89,34,18.3,scattered clouds
223,Adrar,MR,2022-06-23 13:15:28,20.5022,-10.0711,100.45,13,0,10.33,clear sky
224,Teguise,ES,2022-06-23 13:15:29,29.0605,-13.564,73.62,44,20,14.97,few clouds
225,Balmedie,GB,2022-06-23 13:15:29,57.2505,-2.0616,72.28,64,83,9.22,broken clouds
226,Ribeira Grande,PT,2022-06-23 13:15:30,38.5167,-28.7,68.4,73,75,5.75,broken clouds
227,Nome,US,2022-06-23 13:14:31,64.5011,-165.4064,41.16,93,100,10.36,overcast clouds
228,Irbil,IQ,2022-06-23 13:10:37,36.1926,44.0106,98.08,16,0,7.31,clear sky
229,Katsuura,JP,2022-06-23 13:16:31,35.1333,140.3,72.05,96,84,4.56,broken clouds
230,Port Macquarie,AU,2022-06-23 13:16:31,-31.4333,152.9167,43.9,80,32,4.99,scattered clouds
231,Yerbogachen,RU,2022-06-23 13:16:31,61.2767,108.0108,69.22,64,98,1.81,overcast clouds
232,Bilma,NE,2022-06-23 13:16:32,18.6853,12.9164,107.15,7,66,3.22,broken clouds
233,Hargeysa,SO,2022-06-23 13:16:32,9.56,44.065,84.27,37,94,19.46,overcast clouds
234,Pevek,RU,2022-06-23 13:16:33,69.7008,170.3133,34.11,91,100,8.7,overcast clouds
235,Basco,PH,2022-06-23 13:16:33,20.4487,121.9702,85.77,76,12,14.83,few clouds
236,Riyadh,SA,2022-06-23 13:16:33,24.6877,46.7219,111.34,5,20,15.14,few clouds
237,Vila,PT,2022-06-23 13:16:34,42.0304,-8.1588,54.7,91,100,5.19,moderate rain
238,Vila Velha,BR,2022-06-23 13:16:34,-20.3297,-40.2925,80.55,73,0,10.36,clear sky
239,Dehloran,IR,2022-06-23 13:16:35,32.6941,47.2679,100.51,14,0,15.28,clear sky
240,Benguela,AO,2022-06-23 13:16:35,-12.5763,13.4055,74.71,68,22,8.7,few clouds
241,Mayfield,US,2022-06-23 13:16:35,36.7417,-88.6367,80.02,64,0,3.44,clear sky
242,Grieskirchen,AT,2022-06-23 13:16:36,48.2333,13.8333,82.96,60,9,8.21,clear sky
243,Ambovombe,MG,2022-06-23 13:16:36,-25.1667,46.0833,69.93,49,0,18.72,clear sky
244,Hasaki,JP,2022-06-23 13:16:37,35.7333,140.8333,72.28,93,99,7.54,overcast clouds
245,Touros,BR,2022-06-23 13:12:15,-5.1989,-35.4608,83.5,65,58,11.07,broken clouds
